id,orgid,incidentid,alertid,timestamp,detectorid,alerttitle,category,mitretechniques,incidentgrade,actiongrouped,actiongranular,entitytype,evidencerole,deviceid,sha256,ipaddress,url,accountsid,accountupn,accountobjectid,accountname,devicename,networkmessageid,emailclusterid,registrykey,registryvaluename,registryvaluedata,applicationid,applicationname,oauthapplicationid,threatfamily,filename,folderpath,resourceidname,resourcetype,roles,osfamily,osversion,antispamdirection,suspicionlevel,lastverdict,countrycode,state,city
25769808152,234,523308,488361,2024-06-09 13:09:45+00:00,14,12,CredentialAccess,T1110;T1110.003;T1110.001,TruePositive,,,Ip,Related,98799,,230,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,34,83,86
1340029801034,38,131027,252748,2024-06-07 19:48:25+00:00,2,2,CommandAndControl,,BenignPositive,,,Url,Related,98799,,360606,822,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
764504183801,1430,179469,1550484,2024-06-03 09:13:34+00:00,322,533,SuspiciousActivity,,TruePositive,,,CloudApplication,Related,98799,,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,81,123,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
755914244203,144,39459,137634,2024-06-11 01:13:54+00:00,1,1,InitialAccess,T1566.002,BenignPositive,,,Url,Related,98799,,360606,737,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,NoThreatsFound,242,1445,10630
1460288882456,260,505584,1499990,2024-06-11 07:31:30+00:00,33,22,InitialAccess,,BenignPositive,,,MailMessage,Related,98799,,360606,160396,441377,15,425863,453297,153085,314830,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
8589937918,62,483117,1391591,2024-06-09 18:58:36+00:00,5,39,SuspiciousActivity,,TruePositive,,,CloudApplication,Impacted,98799,,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,0,0,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
824633721396,246,517886,1384122,2024-06-08 01:34:54+00:00,5,49,SuspiciousActivity,,BenignPositive,,,CloudApplication,Impacted,98799,,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,1,1,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1357209668566,449,22441,908361,2024-06-03 12:03:58+00:00,0,0,InitialAccess,T1078;T1078.004,FalsePositive,,,Ip,Related,98799,,186611,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,0,3,444
326417517830,62,480175,1381333,2024-06-07 13:10:04+00:00,5,39,SuspiciousActivity,,TruePositive,,,Ip,Related,98799,,5329,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,Contextual,5,66,,,,242,1445,10630
231928237369,2,152607,232417,2024-06-06 20:08:53+00:00,10,8,InitialAccess,T1566.001,BenignPositive,,,Mailbox,Impacted,98799,,360606,160396,41229,5721,40433,43174,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1486058686813,240,64025,37610,2024-06-13 05:35:58+00:00,322,362,InitialAccess,T1190;T1133,TruePositive,,,Ip,Related,98799,,516,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
1005022347929,17,225032,435648,2024-06-13 18:09:09+00:00,20,1710,Exfiltration,,FalsePositive,,,Ip,Related,98799,,1124,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630
128849019862,1013,6974,730129,2024-06-13 03:56:13+00:00,3,4,SuspiciousActivity,,FalsePositive,,,Url,Related,98799,,360606,2875,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630
